Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\SetGlobalVersion.csproj,,,Community.VisualStudio.VSCT 16.0.29.6,,,,,"Community.VisualStudio.VSCT, 16.0.29.6  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\SetGlobalVersion.csproj,,,Community.VisualStudio.Toolkit.17 17.0.507,,,,,"Community.VisualStudio.Toolkit.17, 17.0.507  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\SetGlobalVersion.csproj,,,Microsoft.VisualStudio.SDK 17.9.37000,,,,,"Microsoft.VisualStudio.SDK, 17.9.37000  Recommendation:  Microsoft.VisualStudio.SDK, 16.0.208"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\SetGlobalVersion.csproj,,,Microsoft.VisualStudio.Web.BrowserLink.12.0 12.0.0,,,,,"Microsoft.VisualStudio.Web.BrowserLink.12.0, 12.0.0  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\SetGlobalVersion.csproj,,,Microsoft.VSSDK.BuildTools 17.9.3174,,,,,"Microsoft.VSSDK.BuildTools, 17.9.3174  Recommendation:  Microsoft.VSSDK.BuildTools, 15.7.104"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\SetGlobalVersion.csproj,,,System.Text.Encodings.Web 8.0.0,,,,,"System.Text.Encodings.Web, 8.0.0  Recommendation:  Remove System.Text.Encodings.Web, and replace with new package System.Text.Encodings.Web 10.0.3"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\SetGlobalVersion.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\SetGlobalVersion.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0-windows"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,1307,2,T:System.Windows.RoutedEventArgs,,,,,"private void Common_GotFocus_Handler(object sender, RoutedEventArgs e)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,1310,3,M:System.Windows.UIElement.Focus,,,,,((TextBox)sender).Focus();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,1309,3,M:System.Windows.Controls.Primitives.TextBoxBase.SelectAll,,,,,((TextBox)sender).SelectAll();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,1302,2,T:System.Windows.RoutedEventArgs,,,,,"private void VersionMinorEntryName_GotFocus(object sender, RoutedEventArgs e)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,1297,2,T:System.Windows.Input.ManipulationCompletedEventArgs,,,,,"private void RevisionNumberEntryName_ManipulationCompleted(object sender, System.Windows.Input.ManipulationCompletedEventArgs e)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,1292,2,T:System.Windows.RoutedEventArgs,,,,,"private void RevisionNumberEntryName_LostFocus(object sender, RoutedEventArgs e)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,1287,2,T:System.Windows.Input.ManipulationCompletedEventArgs,,,,,"private void BuildNumberEntryName_ManipulationCompleted(object sender, System.Windows.Input.ManipulationCompletedEventArgs e)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,1282,2,T:System.Windows.RoutedEventArgs,,,,,"private void BuildNumberEntryName_LostFocus(object sender, RoutedEventArgs e)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,1277,2,T:System.Windows.Input.ManipulationCompletedEventArgs,,,,,"private void VersionMinorEntryName_ManipulationCompleted(object sender, System.Windows.Input.ManipulationCompletedEventArgs e)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,1272,2,T:System.Windows.RoutedEventArgs,,,,,"private void VersionMinorEntryName_LostFocus(object sender, RoutedEventArgs e)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,1267,2,T:System.Windows.Input.ManipulationCompletedEventArgs,,,,,"private void VersionMajorEntryName_ManipulationCompleted(object sender, System.Windows.Input.ManipulationCompletedEventArgs e)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,1262,2,T:System.Windows.RoutedEventArgs,,,,,"private void VersionMajorEntryName_LostFocus(object sender, RoutedEventArgs e)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,1098,2,T:System.Windows.RoutedEventArgs,,,,,"private void OnSetNumbersButtonClicked(object sender, System.Windows.RoutedEventArgs e)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,429,2,T:System.Windows.RoutedEventArgs,,,,,"private void OnRefreshButtonClicked(object sender, System.Windows.RoutedEventArgs e)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,352,2,T:System.Windows.RoutedEventArgs,,,,,"private async Task OnRevisionNumberEntryCompletedAsync(object sender, System.Windows.RoutedEventArgs e)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,331,2,T:System.Windows.RoutedEventArgs,,,,,"private async Task OnBuildNumberEntryCompletedAsync(object sender, System.Windows.RoutedEventArgs e)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,310,2,T:System.Windows.RoutedEventArgs,,,,,"private async Task OnVersionMinorEntryCompletedAsync(object sender, System.Windows.RoutedEventArgs e)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,289,2,T:System.Windows.RoutedEventArgs,,,,,"private async Task OnVersionMajorEntryCompletedAsync(object sender, RoutedEventArgs e)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,255,6,T:System.Windows.Controls.DataGridTextColumn,,,,,mySolutionDataGrid.Columns.Add(solCol1);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SetGlobalVersion\SetGlobalVersion.csproj,File,SetGlobalVersion\ToolWindows\MyToolWindowControl.xaml.cs,254,6,T:System.Windows.Controls.DataGridTextColumn,,,,,mySolutionDataGrid.Columns.Add(solCol0);
